Date,Amount,Payee,Particulars,Code,Reference,Tran Type,Processed Date
09/04/2025,-29.90,Xero Subscription,Wellington,,,PUR,09/04/2025
16/04/2025,-87.40,Cafe supplies,Nelson,,,PUR,16/04/2025
09/05/2025,-29.90,Xero Subscription,Wellington,,,PUR,09/05/2025
21/05/2025,-142.60,Fuel,Richmond,,,PUR,21/05/2025
09/06/2025,-29.90,Xero Subscription,Wellington,,,PUR,09/06/2025
18/06/2025,-63.25,Cafe supplies,Nelson,,,PUR,18/06/2025
09/07/2025,-29.90,Xero Subscription,Wellington,,,PUR,09/07/2025
23/07/2025,-210.45,Airline ticket,Auckland,,,PUR,23/07/2025
09/08/2025,-29.90,Xero Subscription,Wellington,,,PUR,09/08/2025
14/08/2025,-55.20,Stationery,Nelson,,,PUR,14/08/2025
09/09/2025,-29.90,Xero Subscription,Wellington,,,PUR,09/09/2025
26/09/2025,-178.25,Fuel,Richmond,,,PUR,26/09/2025
15/10/2025,-395.60,Trade show stand,Christchurch,,,PUR,15/10/2025
28/10/2025,1284.35,PAYMENT - THANK YOU,,,,PMT,28/10/2025
19/11/2025,-92.00,Cafe supplies,Nelson,,,PUR,19/11/2025
04/12/2025,-132.25,Phone and internet,Nelson,,,PUR,04/12/2025
22/01/2026,-46.00,Cafe supplies,Nelson,,,PUR,22/01/2026
19/02/2026,-167.90,Fuel,Richmond,,,PUR,19/02/2026
05/03/2026,-132.25,Phone and internet,Nelson,,,PUR,05/03/2026
