Kea Coffee Roasters Trading - 02-1234-0056789-000
Date,Amount,CCY,Serial,Trn,Particulars,Code,Reference,Other Party,Origin,Type,Batch,Other Party Account
"03/04/2025","1265.00","NZD","","000","","","INV-1001","Harbour Cafe","02-1234","DC","0000","02-4455"
"08/04/2025","-862.50","NZD","","001","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"11/04/2025","-184.00","NZD","","002","Packaging","","","Pack It Ltd","02-1234","BP","0000","02-3322"
"15/04/2025","-1150.00","NZD","","003","Rent April","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"22/04/2025","2530.00","NZD","","004","","","INV-1002","Kea Cafe Group","02-1234","DC","0000","02-4455"
"29/04/2025","-218.50","NZD","","005","Power","","","Trustpower","02-1234","BP","0000","02-7766"
"06/05/2025","-862.50","NZD","","006","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"09/05/2025","977.50","NZD","","007","","","INV-1003","The Roastery Bar","02-1234","DC","0000","02-1177"
"15/05/2025","-1150.00","NZD","","008","Rent May","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"20/05/2025","-345.00","NZD","","009","Courier","","","NZ Post","02-1234","BP","0000","02-6655"
"28/05/2025","-218.50","NZD","","010","Power","","","Trustpower","02-1234","BP","0000","02-7766"
"04/06/2025","1840.00","NZD","","011","","","INV-1004","Harbour Cafe","02-1234","DC","0000","02-4455"
"10/06/2025","-862.50","NZD","","012","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"16/06/2025","-1150.00","NZD","","013","Rent June","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"24/06/2025","-287.50","NZD","","014","Accounting","","","Fern Advisory","02-1234","BP","0000","02-5533"
"02/07/2025","3105.00","NZD","","015","","","INV-1005","Kea Cafe Group","02-1234","DC","0000","02-4455"
"08/07/2025","-862.50","NZD","","016","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"15/07/2025","-1150.00","NZD","","017","Rent July","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"21/07/2025","-1495.00","NZD","","018","Roaster service","","","Southern Machinery","02-1234","BP","0000","02-2244"
"30/07/2025","-218.50","NZD","","019","Power","","","Trustpower","02-1234","BP","0000","02-7766"
"05/08/2025","1265.00","NZD","","020","","","INV-1006","The Roastery Bar","02-1234","DC","0000","02-1177"
"12/08/2025","-862.50","NZD","","021","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"15/08/2025","-1150.00","NZD","","022","Rent August","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"26/08/2025","-402.50","NZD","","023","Insurance","","","Tasman Insurance","02-1234","BP","0000","02-4488"
"03/09/2025","2185.00","NZD","","024","","","INV-1007","Harbour Cafe","02-1234","DC","0000","02-4455"
"09/09/2025","-862.50","NZD","","025","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"15/09/2025","-1150.00","NZD","","026","Rent September","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"23/09/2025","-690.00","NZD","","027","Market stall fees","","","Nelson Markets","02-1234","BP","0000","02-3399"
"01/10/2025","1495.00","NZD","","028","","","INV-1008","Kea Cafe Group","02-1234","DC","0000","02-4455"
"07/10/2025","-862.50","NZD","","029","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"15/10/2025","-1150.00","NZD","","030","Rent October","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"21/10/2025","-1058.00","NZD","","031","Hardware","","","Timberline Hardware","02-1234","BP","0000","02-7711"
"28/10/2025","-1284.35","NZD","","032","Card payment","","","BNZCREDITCDS","02-1234","BP","0000","kea-card-4021"
"04/11/2025","2760.00","NZD","","033","","","INV-1009","Harbour Cafe","02-1234","DC","0000","02-4455"
"11/11/2025","-862.50","NZD","","034","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"17/11/2025","-1150.00","NZD","","035","Rent November","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"25/11/2025","-218.50","NZD","","036","Power","","","Trustpower","02-1234","BP","0000","02-7766"
"02/12/2025","3450.00","NZD","","037","","","INV-1010","Kea Cafe Group","02-1234","DC","0000","02-4455"
"09/12/2025","-862.50","NZD","","038","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"15/12/2025","-1150.00","NZD","","039","Rent December","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"13/01/2026","-1150.00","NZD","","040","Rent January","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"20/01/2026","1610.00","NZD","","041","","","INV-1011","The Roastery Bar","02-1234","DC","0000","02-1177"
"27/01/2026","-862.50","NZD","","042","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"04/02/2026","-287.50","NZD","","043","Accounting","","","Fern Advisory","02-1234","BP","0000","02-5533"
"11/02/2026","2070.00","NZD","","044","","","INV-1012","Harbour Cafe","02-1234","DC","0000","02-4455"
"16/02/2026","-1150.00","NZD","","045","Rent February","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"24/02/2026","-862.50","NZD","","046","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
"03/03/2026","-218.50","NZD","","047","Power","","","Trustpower","02-1234","BP","0000","02-7766"
"10/03/2026","1840.00","NZD","","048","","","INV-1013","Kea Cafe Group","02-1234","DC","0000","02-4455"
"16/03/2026","-1150.00","NZD","","049","Rent March","","","Rimu Property Trust","02-1234","BP","0000","02-9911"
"24/03/2026","-862.50","NZD","","050","Green beans","","","Highland Bean Co","02-1234","BP","0000","02-8811"
