*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Entity,GST Treatment,Entity Owners,Entity Kind
"200","Sales","Revenue","15% GST on Income","Coffee sold wholesale","","","","Kea Coffee Roasters Limited","standard","","business"
"210","Rent received","Revenue","GST Exempt","Residential rent","","","","17 Rimu Lane","exempt","Ana Whitcombe 50%; Tom Whitcombe 50%","residential"
"300","Cost of goods sold","Direct Costs","15% GST on Expenses","Green beans","","","","Kea Coffee Roasters Limited","standard","","business"
"310","Packaging","Direct Costs","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"425","Freight and courier","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"429","General expenses","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"433","Insurance","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"437","Accounting fees","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"445","Light, power, heating","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"449","Motor vehicle expenses","Overhead","15% GST on Expenses","Fuel and running costs","","","","Kea Coffee Roasters Limited","standard","","business"
"453","Office expenses","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"458","Repairs and maintenance","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"461","Rent paid","Overhead","15% GST on Expenses","The roastery unit","","","","Kea Coffee Roasters Limited","standard","","business"
"469","Subscriptions","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"473","Advertising","Overhead","15% GST on Expenses","Markets and trade shows","","","","Kea Coffee Roasters Limited","standard","","business"
"477","Telephone and internet","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"481","Travel","Overhead","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"600","Property repairs","Overhead","15% GST on Expenses","Rental repairs","","","","17 Rimu Lane","exempt","Ana Whitcombe 50%; Tom Whitcombe 50%","residential"
"604","Rates","Overhead","15% GST on Expenses","","","","","17 Rimu Lane","exempt","Ana Whitcombe 50%; Tom Whitcombe 50%","residential"
"608","Property insurance","Overhead","15% GST on Expenses","","","","","17 Rimu Lane","exempt","Ana Whitcombe 50%; Tom Whitcombe 50%","residential"
"630","Drawings","Current Liability","No GST","Money taken out","","","","Kea Coffee Roasters Limited","out-of-scope","","business"
"710","Plant and equipment","Fixed Asset","15% GST on Expenses","","","","","Kea Coffee Roasters Limited","standard","","business"
"711","Less accumulated depreciation on Plant and equipment","Fixed Asset","No GST","","","","","Kea Coffee Roasters Limited","out-of-scope","","business"
"820","GST","Current Liability","No GST","The GST control account","","","","Kea Coffee Roasters Limited","out-of-scope","","business"
"500","Depreciation","Depreciation","No GST","","","","","Kea Coffee Roasters Limited","out-of-scope","","business"
