ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,InvoiceNumber,Reference,InvoiceDate,DueDate,PlannedDate,Total,TaxTotal,InvoiceAmountPaid,InvoiceAmountDue,InventoryItemCode,Description,Quantity,UnitAmount,Discount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Type,Sent,Status
"Harbour Cafe","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1001","","28/03/2025","27/04/2025","","1265.0000","165.0000","1265.0000","0.0000","","Wholesale coffee, March","1.0000","1100.0000","","1100.0000","200","15% GST on Income","165.0000","","","","","NZD","Sales invoice","Sent","Paid"
"Kea Cafe Group","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1002","","15/04/2025","15/05/2025","","2530.0000","330.0000","2530.0000","0.0000","","Wholesale coffee, April","1.0000","2200.0000","","2200.0000","200","15% GST on Income","330.0000","","","","","NZD","Sales invoice","Sent","Paid"
"The Roastery Bar","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1003","","01/05/2025","31/05/2025","","977.5000","127.5000","977.5000","0.0000","","Wholesale coffee","1.0000","850.0000","","850.0000","200","15% GST on Income","127.5000","","","","","NZD","Sales invoice","Sent","Paid"
"Harbour Cafe","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1004","","28/05/2025","27/06/2025","","1840.0000","240.0000","1840.0000","0.0000","","Wholesale coffee, May","1.0000","1600.0000","","1600.0000","200","15% GST on Income","240.0000","","","","","NZD","Sales invoice","Sent","Paid"
"Kea Cafe Group","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1005","","24/06/2025","24/07/2025","","3105.0000","405.0000","3105.0000","0.0000","","Wholesale coffee, June","1.0000","2700.0000","","2700.0000","200","15% GST on Income","405.0000","","","","","NZD","Sales invoice","Sent","Paid"
"The Roastery Bar","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1006","","29/07/2025","28/08/2025","","1265.0000","165.0000","1265.0000","0.0000","","Wholesale coffee","1.0000","1100.0000","","1100.0000","200","15% GST on Income","165.0000","","","","","NZD","Sales invoice","Sent","Paid"
"Harbour Cafe","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1007","","27/08/2025","26/09/2025","","2185.0000","285.0000","2185.0000","0.0000","","Wholesale coffee, August","1.0000","1900.0000","","1900.0000","200","15% GST on Income","285.0000","","","","","NZD","Sales invoice","Sent","Paid"
"Kea Cafe Group","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1008","","24/09/2025","24/10/2025","","1495.0000","195.0000","1495.0000","0.0000","","Wholesale coffee","1.0000","1300.0000","","1300.0000","200","15% GST on Income","195.0000","","","","","NZD","Sales invoice","Sent","Paid"
"Harbour Cafe","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1009","","28/10/2025","27/11/2025","","2760.0000","360.0000","2760.0000","0.0000","","Wholesale coffee, October","1.0000","2400.0000","","2400.0000","200","15% GST on Income","360.0000","","","","","NZD","Sales invoice","Sent","Paid"
"Kea Cafe Group","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1010","","25/11/2025","25/12/2025","","3450.0000","450.0000","3450.0000","0.0000","","Christmas order","1.0000","3000.0000","","3000.0000","200","15% GST on Income","450.0000","","","","","NZD","Sales invoice","Sent","Paid"
"The Roastery Bar","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1011","","13/01/2026","12/02/2026","","1610.0000","210.0000","1610.0000","0.0000","","Wholesale coffee","1.0000","1400.0000","","1400.0000","200","15% GST on Income","210.0000","","","","","NZD","Sales invoice","Sent","Paid"
"Harbour Cafe","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1012","","04/02/2026","06/03/2026","","2070.0000","270.0000","2070.0000","0.0000","","Wholesale coffee, January","1.0000","1800.0000","","1800.0000","200","15% GST on Income","270.0000","","","","","NZD","Sales invoice","Sent","Paid"
"Kea Cafe Group","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1013","","03/03/2026","02/04/2026","","1840.0000","240.0000","1840.0000","0.0000","","Wholesale coffee, February","1.0000","1600.0000","","1600.0000","200","15% GST on Income","240.0000","","","","","NZD","Sales invoice","Sent","Paid"
"Harbour Cafe","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1014","","24/03/2026","23/04/2026","","1495.0000","195.0000","0.0000","1495.0000","","Wholesale coffee, March","1.0000","1300.0000","","1300.0000","200","15% GST on Income","195.0000","","","","","NZD","Sales invoice","Sent","Awaiting Payment"
"The Roastery Bar","","","","","","Nelson","","7010","NZ","","","","","","","","","INV-1015","","30/03/2026","29/04/2026","","862.5000","112.5000","0.0000","862.5000","","Wholesale coffee","1.0000","750.0000","","750.0000","200","15% GST on Income","112.5000","","","","","NZD","Sales invoice","Sent","Awaiting Payment"
